"FLUENCIA","RES_TRA","RELACION","ALARGA","PE_MET"
469,599,1.28,16.1,1.471
347,483,0,24.9,0
357,484,0,26,0
336,472,0,27.6,0
345,489,0,25.6,0
350,543,0,26.3,0
384,503,0,28.4,0
387,510,0,27.9,0
376,522,0,26.4,0
360,509,0,27.4,0
368,501,0,26.1,0
370,495,0,25.9,0
344,470,0,28.8,0
348,487,0,28.1,0
487,611,1.25,15.3,1.47
467,592,1.27,17.9,1.47
465,591,1.27,16.2,1.472
476,595,1.25,16.9,1.467
473,596,1.26,16.7,1.466
473,593,1.25,17.1,1.471
471,598,1.27,17.2,1.471
473,592,1.25,16.9,1.474
465,599,1.29,16.9,1.475
483,604,1.25,17,1.468
468,586,1.25,16.9,1.468
466,584,1.25,17.3,1.48
462,576,1.25,16.6,1.476
484,608,1.26,16.9,1.474
470,589,1.25,19.1,1.465
469,592,1.26,18,1.468
466,595,1.28,15.9,1.475
475,601,1.27,19.7,1.472
459,580,1.26,18,1.474
487,611,1.25,15.3,1.47
468,586,1.25,16.9,1.468
466,584,1.25,17.3,1.48
341,483,0,26.9,0
347,483,0,24.9,0
357,484,0,26,0
336,472,0,27.6,0
345,489,0,25.6,0
348,504,0,26.2,0
331,490,0,26.6,0
336,485,0,26.3,0
387,524,0,31.1,7.266
387,521,0,30,14.537
355,508,0,29.8,14.658
487,611,1.25,15.3,1.47
472,588,1.25,17.5,1.483
472,591,1.25,17.4,1.471
468,598,1.28,18.4,1.469
471,598,1.27,17.2,1.471
473,592,1.25,16.9,1.474
465,599,1.29,16.9,1.475
479,601,1.25,17.2,1.473
466,584,1.25,17.3,1.48
470,589,1.25,19.1,1.465
469,592,1.26,18,1.468
470,603,1.28,16.5,1.476
463,587,1.27,18.4,1.468
457,589,1.29,17.1,1.47
463,588,1.27,17.2,1.473
470,590,1.26,17,1.473
484,607,1.25,17,1.467
474,605,1.28,17.1,1.468
472,594,1.26,17.3,1.472
461,582,1.26,16.8,1.47
455,600,1.32,15.1,2.138
485,631,1.3,15.1,2.134
360,508,0,24.9,0
370,518,0,29.3,0
365,514,0,22.9,0
357,488,0,25.6,0
338,478,0,26.4,0
347,483,0,24.9,0
357,484,0,26,0
350,543,0,26.3,0
348,504,0,26.2,0
334,488,0,26.5,0
331,490,0,26.6,0
336,485,0,26.3,0
376,522,0,26.4,0
344,470,0,28.8,0
348,487,0,28.1,0
336,489,0,30.8,0
395,511,0,31.3,8.8
377,510,0,31.2,9.004
405,516,0,32.1,10.511
456,575,1.26,18.2,1.474
471,593,1.26,18.1,1.501
466,584,1.25,17.3,1.48
480,625,1.3,15.1,2.143
510,651,1.28,14.9,2.128
491,631,1.29,15,2.132
506,645,1.27,19,2.123
503,642,1.28,18.5,2.125
491,623,1.27,16.8,2.134
478,615,1.29,16.2,2.133
365,514,0,22.9,0
357,488,0,25.6,0
377,508,0,24.3,0
367,490,0,24.9,0
360,493,0,25.2,0
476,595,1.25,16.9,1.467
469,591,1.26,16.9,1.466
530,673,1.27,14.6,0.376
532,706,1.33,14.8,0.376
525,750,1.43,14.6,0.388
537,719,1.34,14.4,0.379
506,713,1.41,14.2,0.377
514,696,1.35,14.7,0.38
526,694,1.32,15,0.384
531,698,1.31,14.1,0.384
500,670,1.34,14.7,0.378
486,715,1.47,14,0.379
530,673,1.27,14.6,0.376
531,698,1.31,14.1,0.384
500,670,1.34,14.7,0.378
486,715,1.47,14,0.379
360,508,0,24.9,0
370,518,0,29.3,0
367,490,0,24.9,0
360,493,0,25.2,0
357,504,0,24.9,0
390,523,0,28.8,14.46
522,745,1.43,15,0.388
530,673,1.27,14.6,0.376
532,706,1.33,14.8,0.376
525,750,1.43,14.6,0.388
470,730,1.55,15.1,0.378
537,719,1.34,14.4,0.379
531,698,1.31,14.1,0.384
466,705,1.51,14.3,0.38
476,702,1.47,14.8,0.378
469,696,1.48,14.4,0.378
467,722,1.55,14.4,0.376
500,670,1.34,14.7,0.378
519,699,1.35,14.7,0.378
486,715,1.47,14,0.379
467,722,1.55,14.4,0.376
486,715,1.47,14,0.379
487,610,1.25,16.2,0.589
478,604,1.26,16.4,0.616
479,598,1.25,15.5,0.589
446,583,1.31,15.9,0.589
468,600,1.28,15.7,0.589
465,591,1.27,15.2,0.586
462,596,1.29,17.1,0.586
463,587,1.27,15.1,0.585
477,607,1.27,16.6,0.616
479,604,1.26,14.7,0.597
456,737,1.62,14.1,0.376
482,680,1.41,14.7,0.378
486,702,1.44,15.2,0.374
481,672,1.4,15.3,0.376
456,695,1.52,14.8,0.374
360,508,0,24.9,0
357,504,0,24.9,0
384,503,0,28.4,0
457,576,1.26,17.9,0.954
448,561,1.25,17.6,0.955
449,566,1.26,18.5,0.949
451,570,1.26,17.5,0.96
448,560,1.25,17.4,0.958
449,566,1.26,18.5,0.949
462,581,1.26,16.8,0.944
468,591,1.26,16.8,0.94
474,591,1.25,16.9,0.938
472,598,1.27,16.6,0.937
474,591,1.25,18.4,0.938
467,588,1.26,15.9,0.947
476,599,1.26,16.6,0.944
438,570,1.3,15.8,0.949
454,575,1.27,16.4,0.957
463,583,1.26,17.7,0.946
453,587,1.3,17.1,0.937
458,573,1.25,18.1,0.937
467,588,1.26,15.9,0.947
465,588,1.26,15.3,0.94
454,571,1.26,16.4,0.941
482,660,1.37,15,0.225
480,706,1.47,14.3,0.225
483,642,1.33,14.5,0.222
449,678,1.51,14.3,0.222
365,514,0,22.9,0
377,508,0,24.3,0
367,490,0,24.9,0
357,504,0,24.9,0
448,560,1.25,17.4,0.958
457,576,1.26,17.9,0.954
458,576,1.26,16.9,0.961
448,560,1.25,17.4,0.958
449,566,1.26,18.5,0.949
458,573,1.25,18.1,0.937
467,587,1.26,17.4,0.941
496,623,1.26,16.6,0.94
464,601,1.3,17.1,0.938
479,619,1.29,16.9,0.94
477,611,1.28,16.1,0.942
478,597,1.25,16.3,0.941
448,571,1.28,16.3,0.94
477,611,1.28,16.6,0.942
459,587,1.28,17.3,0.939
451,583,1.29,17.1,0.942
476,611,1.28,16.6,0.943
485,624,1.29,16.4,0.944
477,611,1.28,16.1,0.942
465,588,1.26,15.3,0.94
465,581,1.25,16.7,0.944
462,585,1.27,16.8,0.944
452,684,1.51,15,0.227
457,705,1.54,14.9,0.226
494,692,1.4,14.4,0.227
480,699,1.46,14.7,0.228
483,712,1.47,14.4,0.225
483,642,1.33,14.5,0.222
444,683,1.54,14.7,0.224
489,699,1.43,14.7,0.222
441,663,1.5,14.4,0.226
449,678,1.51,14.3,0.222
471,689,1.46,14.5,0.228
365,514,0,22.9,0
357,488,0,25.6,0
477,611,1.28,16.6,0.942
459,587,1.28,17.3,0.939
465,584,1.26,16.8,0.945
468,587,1.25,16.2,0.943
455,578,1.27,16.9,0.944
460,581,1.26,16.2,0.941
468,591,1.26,15.6,0.944
475,592,1.25,16.4,0.946
460,595,1.29,17.1,0.945
480,607,1.26,15.2,0.945
461,587,1.27,17.4,0.942
463,583,1.26,17.1,0.943
456,574,1.26,17.3,0.944
468,594,1.27,16.7,0.941
444,579,1.3,17.8,0.939
462,580,1.26,16.8,0.942
451,583,1.29,17.1,0.942
460,581,1.26,16.2,0.941
434,625,1.44,15.4,0.224
433,623,1.44,16.1,0.224
447,653,1.46,14.9,0.223
441,625,1.42,17.1,0.224
459,665,1.45,16.1,0.225
481,706,1.47,14.4,0.229
466,690,1.48,14.2,0.225
479,635,1.33,16.2,0.224
481,657,1.37,14.6,0.224
357,504,0,24.9,0
458,576,1.26,16.9,0.961
447,613,1.37,15.9,0.251
446,635,1.42,15.7,0.251
464,673,1.45,16.3,0.432
460,581,1.26,16.2,0.941
480,607,1.26,15.2,0.945
444,579,1.3,17.8,0.939
462,580,1.26,16.8,0.942
452,574,1.27,16.7,0.942
459,576,1.25,15.4,0.947
447,576,1.29,16.4,0.945
474,592,1.25,16.6,0.946
464,584,1.26,15.9,0.947
463,584,1.26,16.3,0.945
478,603,1.26,16.3,0.947
464,591,1.27,17.7,0.94
447,576,1.29,16.4,0.945
506,643,1.27,16.7,2.14
507,632,1.25,14.7,2.129
498,640,1.29,17.3,2.126
471,612,1.3,17.1,2.133
490,631,1.29,17.2,2.135
463,587,1.27,15.1,0.585
477,607,1.27,16.6,0.616
479,604,1.26,14.7,0.597
486,706,1.45,15,0.379
490,673,1.37,15,0.377
456,695,1.52,14.8,0.374
477,680,1.43,14.9,0.382
490,708,1.44,14.7,0.381
482,664,1.38,15.2,0.535
452,667,1.48,14.2,0.538
451,681,1.51,15.3,0.531
446,657,1.47,15.1,0.537
370,518,0,29.3,0
357,488,0,25.6,0
377,508,0,24.3,0
367,490,0,24.9,0
455,575,1.27,18.6,0.952
486,636,1.31,16,2.115
459,599,1.31,16.5,2.134
482,622,1.29,15.7,2.117
490,631,1.29,17.2,2.135
448,594,1.33,15.6,2.128
476,611,1.28,15.7,2.119
527,662,1.26,15.4,2.118
514,657,1.28,15.6,2.118
499,636,1.27,16.1,2.128
505,644,1.28,15.5,2.124
468,616,1.32,16.6,2.118
473,604,1.28,16.6,2.125
497,634,1.28,16,2.125
471,612,1.3,17.1,2.133
475,604,1.27,16.2,2.114
486,613,1.26,16.5,2.118
494,632,1.28,15.9,2.112
486,613,1.26,16.5,2.118
469,609,1.3,16.2,2.113
455,580,1.27,16.6,2.148
502,626,1.25,16.5,2.894
469,595,1.27,17.6,2.138
460,577,1.26,17.1,2.136
465,588,1.26,15.3,0.94
475,612,1.29,16.6,3.794
472,590,1.25,16.9,3.771
457,590,1.29,16.2,3.825
471,597,1.27,16.3,3.83
473,592,1.25,17.6,3.765
473,596,1.26,15.1,3.777
446,684,1.53,14.8,0.537
466,677,1.45,14.6,0.546
359,503,0,28,0
352,501,0,29.4,0
327,485,0,31.7,0
333,489,0,30.2,0
475,612,1.29,16.6,3.794
472,590,1.25,16.9,3.771
485,620,1.28,17.3,3.827
486,610,1.26,20.5,3.793
482,601,1.25,18.3,3.795
472,589,1.25,16.7,3.767
459,593,1.29,17.4,3.776
462,598,1.29,17.5,3.768
471,589,1.25,17.8,3.77
452,583,1.29,17.6,3.799
446,581,1.3,17.8,3.772
471,589,1.25,17.8,3.77
495,657,1.33,16.9,7.719
479,639,1.33,17.2,7.715
495,657,1.33,18,7.719
459,595,1.3,16.3,6.118
474,603,1.27,17.8,6.075
473,620,1.31,16.1,2.335
493,619,1.26,15,2.825
441,663,1.5,14.4,0.226
434,595,1.37,14.4,0.215
448,615,1.37,14.7,0.217
462,632,1.37,14.6,0.214
461,633,1.37,14.4,0.213
471,654,1.39,14.5,0.217
434,632,1.46,14.3,0.215
444,635,1.43,14.7,0.217
462,636,1.38,14.6,0.216
363,489,0,29.4,1.198
457,580,1.27,16.5,0.54
465,584,1.26,16.4,0.542
469,584,1.25,16.3,0.544
456,568,1.25,16.7,0.542
455,573,1.26,16.7,0.543
465,584,1.26,16.4,0.542
469,584,1.25,16.3,0.544
457,588,1.29,15.9,0.533
472,591,1.25,16.6,0.534
479,610,1.27,17.3,0.541
465,594,1.28,15.6,0.533
475,592,1.25,15.4,0.534
462,590,1.28,16.3,0.532
464,604,1.3,16.2,0.534
470,592,1.26,16.3,0.535
464,587,1.26,16.4,0.53
475,592,1.25,15.4,0.534
462,590,1.28,16.3,0.532
